starttime	seconds	ctime	dtime	ttime	wait
Tue Jul 08 23:39:43 2025	1752007183	0	468	468	468
Tue Jul 08 23:39:48 2025	1752007188	0	468	468	453
Tue Jul 08 23:39:41 2025	1752007181	0	469	469	468
Tue Jul 08 23:39:45 2025	1752007185	0	470	470	470
Tue Jul 08 23:39:36 2025	1752007176	0	470	470	208
Tue Jul 08 23:39:44 2025	1752007184	0	471	471	468
Tue Jul 08 23:39:43 2025	1752007183	0	471	471	275
Tue Jul 08 23:39:46 2025	1752007186	0	471	471	468
Tue Jul 08 23:39:44 2025	1752007184	0	472	472	469
Tue Jul 08 23:39:44 2025	1752007184	0	472	472	472
Tue Jul 08 23:39:46 2025	1752007186	0	472	472	424
Tue Jul 08 23:39:46 2025	1752007186	0	473	473	472
Tue Jul 08 23:39:45 2025	1752007185	0	473	473	473
Tue Jul 08 23:39:47 2025	1752007187	0	473	473	401
Tue Jul 08 23:39:44 2025	1752007184	0	473	473	473
Tue Jul 08 23:39:45 2025	1752007185	0	475	475	139
Tue Jul 08 23:39:47 2025	1752007187	0	475	475	469
Tue Jul 08 23:39:35 2025	1752007175	6	469	475	469
Tue Jul 08 23:39:43 2025	1752007183	0	475	475	474
Tue Jul 08 23:39:47 2025	1752007187	0	475	476	474
Tue Jul 08 23:39:43 2025	1752007183	0	476	476	474
Tue Jul 08 23:39:44 2025	1752007184	0	476	476	474
Tue Jul 08 23:39:42 2025	1752007182	0	476	476	463
Tue Jul 08 23:39:47 2025	1752007187	3	473	476	473
Tue Jul 08 23:39:46 2025	1752007186	0	476	476	430
Tue Jul 08 23:39:48 2025	1752007188	0	476	476	476
Tue Jul 08 23:39:47 2025	1752007187	0	477	477	476
Tue Jul 08 23:39:41 2025	1752007181	0	477	477	476
Tue Jul 08 23:39:46 2025	1752007186	0	477	477	464
Tue Jul 08 23:39:46 2025	1752007186	0	479	479	419
Tue Jul 08 23:39:43 2025	1752007183	0	479	479	479
Tue Jul 08 23:39:43 2025	1752007183	0	480	480	479
Tue Jul 08 23:39:36 2025	1752007176	6	474	480	381
Tue Jul 08 23:39:48 2025	1752007188	0	481	481	452
Tue Jul 08 23:39:45 2025	1752007185	0	482	483	482
Tue Jul 08 23:39:43 2025	1752007183	0	482	483	482
Tue Jul 08 23:39:45 2025	1752007185	0	483	483	482
Tue Jul 08 23:39:46 2025	1752007186	0	483	484	414
Tue Jul 08 23:39:46 2025	1752007186	0	484	484	483
Tue Jul 08 23:39:46 2025	1752007186	0	484	484	426
Tue Jul 08 23:39:35 2025	1752007175	0	484	484	421
Tue Jul 08 23:39:47 2025	1752007187	0	484	484	484
Tue Jul 08 23:39:35 2025	1752007175	0	485	485	484
Tue Jul 08 23:39:45 2025	1752007185	0	485	485	461
Tue Jul 08 23:39:44 2025	1752007184	0	485	485	484
Tue Jul 08 23:39:37 2025	1752007177	0	485	485	485
Tue Jul 08 23:39:47 2025	1752007187	0	485	485	214
Tue Jul 08 23:39:46 2025	1752007186	0	485	485	439
Tue Jul 08 23:39:46 2025	1752007186	0	485	486	450
Tue Jul 08 23:39:47 2025	1752007187	0	486	486	484
Tue Jul 08 23:39:44 2025	1752007184	0	488	488	432
Tue Jul 08 23:39:47 2025	1752007187	0	488	488	487
Tue Jul 08 23:39:46 2025	1752007186	0	488	488	488
Tue Jul 08 23:39:47 2025	1752007187	0	489	489	397
Tue Jul 08 23:39:48 2025	1752007188	0	489	489	455
Tue Jul 08 23:39:46 2025	1752007186	0	489	490	433
Tue Jul 08 23:39:44 2025	1752007184	0	490	490	490
Tue Jul 08 23:39:36 2025	1752007176	0	490	490	332
Tue Jul 08 23:39:43 2025	1752007183	0	491	491	491
Tue Jul 08 23:39:47 2025	1752007187	2	490	492	490
Tue Jul 08 23:39:43 2025	1752007183	0	492	492	492
Tue Jul 08 23:39:44 2025	1752007184	0	492	492	489
Tue Jul 08 23:39:36 2025	1752007176	0	493	493	316
Tue Jul 08 23:39:36 2025	1752007176	0	493	493	294
Tue Jul 08 23:39:43 2025	1752007183	0	493	493	493
Tue Jul 08 23:39:44 2025	1752007184	0	493	493	493
Tue Jul 08 23:39:45 2025	1752007185	0	494	494	389
Tue Jul 08 23:39:44 2025	1752007184	0	494	494	494
Tue Jul 08 23:39:35 2025	1752007175	0	494	494	411
Tue Jul 08 23:39:43 2025	1752007183	0	494	495	471
Tue Jul 08 23:39:45 2025	1752007185	0	495	495	428
Tue Jul 08 23:39:45 2025	1752007185	0	495	495	169
Tue Jul 08 23:39:45 2025	1752007185	0	495	495	495
Tue Jul 08 23:39:42 2025	1752007182	0	495	495	494
Tue Jul 08 23:39:36 2025	1752007176	0	495	495	243
Tue Jul 08 23:39:45 2025	1752007185	0	496	496	496
Tue Jul 08 23:39:47 2025	1752007187	0	496	496	492
Tue Jul 08 23:39:44 2025	1752007184	0	496	496	496
Tue Jul 08 23:39:43 2025	1752007183	0	496	497	496
Tue Jul 08 23:39:46 2025	1752007186	0	497	497	496
Tue Jul 08 23:39:35 2025	1752007175	7	491	498	490
Tue Jul 08 23:39:35 2025	1752007175	0	499	499	497
Tue Jul 08 23:39:47 2025	1752007187	0	499	499	499
Tue Jul 08 23:39:46 2025	1752007186	0	499	499	440
Tue Jul 08 23:39:35 2025	1752007175	9	490	499	477
Tue Jul 08 23:39:46 2025	1752007186	0	499	500	446
Tue Jul 08 23:39:47 2025	1752007187	0	500	500	499
Tue Jul 08 23:39:43 2025	1752007183	0	500	500	500
Tue Jul 08 23:39:35 2025	1752007175	0	500	500	498
Tue Jul 08 23:39:43 2025	1752007183	0	501	501	489
Tue Jul 08 23:39:48 2025	1752007188	0	501	501	500
Tue Jul 08 23:39:45 2025	1752007185	0	501	502	501
Tue Jul 08 23:39:44 2025	1752007184	0	502	502	501
Tue Jul 08 23:39:48 2025	1752007188	0	502	502	405
Tue Jul 08 23:39:47 2025	1752007187	0	502	502	500
Tue Jul 08 23:39:47 2025	1752007187	0	502	502	501
Tue Jul 08 23:39:48 2025	1752007188	0	502	502	501
Tue Jul 08 23:39:36 2025	1752007176	0	502	502	502
Tue Jul 08 23:39:43 2025	1752007183	0	503	503	502
Tue Jul 08 23:39:47 2025	1752007187	0	503	503	501
Tue Jul 08 23:39:40 2025	1752007180	3	500	503	494
Tue Jul 08 23:39:48 2025	1752007188	0	504	504	425
Tue Jul 08 23:39:48 2025	1752007188	0	505	505	505
Tue Jul 08 23:39:35 2025	1752007175	0	505	505	396
Tue Jul 08 23:39:46 2025	1752007186	0	505	506	504
Tue Jul 08 23:39:47 2025	1752007187	0	506	506	505
Tue Jul 08 23:39:44 2025	1752007184	0	506	506	466
Tue Jul 08 23:39:48 2025	1752007188	0	508	508	507
Tue Jul 08 23:39:43 2025	1752007183	0	508	508	503
Tue Jul 08 23:39:47 2025	1752007187	0	508	508	508
Tue Jul 08 23:39:47 2025	1752007187	0	509	509	509
Tue Jul 08 23:39:35 2025	1752007175	0	509	509	509
Tue Jul 08 23:39:42 2025	1752007182	0	510	510	424
Tue Jul 08 23:39:44 2025	1752007184	0	510	510	509
Tue Jul 08 23:39:43 2025	1752007183	0	510	510	510
Tue Jul 08 23:39:46 2025	1752007186	0	510	511	509
Tue Jul 08 23:39:46 2025	1752007186	0	511	511	510
Tue Jul 08 23:39:46 2025	1752007186	0	512	512	512
Tue Jul 08 23:39:44 2025	1752007184	0	513	513	512
Tue Jul 08 23:39:48 2025	1752007188	0	513	513	498
Tue Jul 08 23:39:47 2025	1752007187	0	514	514	496
Tue Jul 08 23:39:48 2025	1752007188	0	514	514	511
Tue Jul 08 23:39:47 2025	1752007187	0	514	514	514
Tue Jul 08 23:39:35 2025	1752007175	7	508	515	507
Tue Jul 08 23:39:46 2025	1752007186	0	515	515	513
Tue Jul 08 23:39:45 2025	1752007185	1	515	515	513
Tue Jul 08 23:39:46 2025	1752007186	0	517	517	514
Tue Jul 08 23:39:46 2025	1752007186	1	516	517	516
Tue Jul 08 23:39:44 2025	1752007184	0	518	518	517
Tue Jul 08 23:39:48 2025	1752007188	0	519	519	457
Tue Jul 08 23:39:42 2025	1752007182	0	519	519	475
Tue Jul 08 23:39:45 2025	1752007185	0	520	520	519
Tue Jul 08 23:39:39 2025	1752007179	0	520	520	520
Tue Jul 08 23:39:42 2025	1752007182	0	520	520	518
Tue Jul 08 23:39:48 2025	1752007188	0	521	521	515
Tue Jul 08 23:39:40 2025	1752007180	0	521	521	360
Tue Jul 08 23:39:37 2025	1752007177	1	521	522	520
Tue Jul 08 23:39:47 2025	1752007187	0	522	522	521
Tue Jul 08 23:39:46 2025	1752007186	0	522	522	522
Tue Jul 08 23:39:47 2025	1752007187	0	522	523	522
Tue Jul 08 23:39:43 2025	1752007183	0	524	524	523
Tue Jul 08 23:39:40 2025	1752007180	0	524	524	523
Tue Jul 08 23:39:47 2025	1752007187	0	524	524	524
Tue Jul 08 23:39:46 2025	1752007186	0	524	525	421
Tue Jul 08 23:39:45 2025	1752007185	0	525	525	524
Tue Jul 08 23:39:45 2025	1752007185	0	526	527	525
Tue Jul 08 23:39:44 2025	1752007184	1	526	527	526
Tue Jul 08 23:39:46 2025	1752007186	0	527	527	526
Tue Jul 08 23:39:43 2025	1752007183	0	528	528	528
Tue Jul 08 23:39:46 2025	1752007186	1	528	529	528
Tue Jul 08 23:39:35 2025	1752007175	6	523	529	519
Tue Jul 08 23:39:44 2025	1752007184	0	529	530	529
Tue Jul 08 23:39:40 2025	1752007180	1	529	530	527
Tue Jul 08 23:39:46 2025	1752007186	0	530	530	512
Tue Jul 08 23:39:45 2025	1752007185	2	529	531	505
Tue Jul 08 23:39:46 2025	1752007186	0	531	531	530
Tue Jul 08 23:39:36 2025	1752007176	0	531	532	443
Tue Jul 08 23:39:40 2025	1752007180	0	532	532	531
Tue Jul 08 23:39:43 2025	1752007183	3	531	533	531
Tue Jul 08 23:39:41 2025	1752007181	0	534	534	533
